#OTU ID,W12t1b,W12t1c,W12t1l,W12t2b,W12t2c,W12t2l,W12t3b,W12t3c,W12t3l,W12t4b,W12t4c,W12t4l,W12t5b,W12t5c,W12t5l,W12t6b,W12t6c,W12t6l,W48t21b,W48t21c,W48t21l,W48t22b,W48t22c,W48t22l,W48t23b,W48t23c,W48t23l,W48t24b,W48t24c,W48t24l,W48t25b,W48t25c,W48t25l,W48t26b,W48t26c,W48t26l,WC10Mb,WC10Mc,WC10Ml,WC31Hb,WC31Hc,WC31Hl,WC32Hb,WC32Hc,WC32Hl,WC33Hb,WC33Hc,WC33Hl,WC8Mb,WC8Mc,WC8Ml,WC9Mb,WC9Mc,WC9Ml
Zotu1612,0,11,10,0,11,13,0,8,12,0,3,0,1,4,11,0,3,3,1,3,1,0,5,7,1,6,12,2,4,24,1,8,14,0,10,18,0,12,8,1,11,8,1,8,4,0,4,6,1,8,10,0,17,9
Zotu16120,0,0,0,2,11,5,0,6,1,1,11,1,0,1,0,0,4,0,0,4,5,2,10,1,0,1,4,0,10,8,1,10,3,1,2,12,1,7,0,1,13,5,0,7,10,2,4,1,0,16,18,0,8,1
Zotu16121,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu16122,0,3,0,0,11,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,3,0,0,5,0,0,2,0,0,1,0,0,5,0,0,0,0
Zotu16123,0,1,6,1,2,0,1,1,0,0,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,2,2,0,1,0,0,4,0,0,2,0,0,2,3,0,6,0
Zotu16124,15,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0
Zotu16125,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,0,0,0,0,0,0,2,0,0,4,0,0,3,0,0,0,0,0,0
Zotu16126,0,0,0,3,5,1,4,0,0,1,0,0,3,1,0,6,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,1,4,0,0,0,2,0,0,0,0,1,1,0
Zotu16127,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11,0,0,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu16128,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Zotu16129,0,0,0,0,0,0,0,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0
Zotu1613,0,4,7,0,4,1,0,9,14,0,0,7,0,2,7,0,3,24,0,4,7,0,2,6,0,5,11,0,5,3,0,9,8,0,8,7,0,2,12,0,6,3,0,5,2,0,9,0,0,10,16,1,2,0
Zotu16130,0,9,1,0,5,0,0,0,35,0,18,0,0,0,0,0,8,0,0,1,0,0,2,0,0,0,0,0,8,0,0,0,0,0,5,4,0,2,0,0,11,0,0,1,0,0,8,0,0,16,0,1,14,0
Zotu16131,0,47,0,0,5,0,0,1,1,0,1,32,1,1,0,0,6,0,0,2,36,3,8,0,0,2,0,2,2,0,0,1,1,0,55,45,0,5,0,0,10,0,0,1,0,0,14,0,0,1,10,0,0,0
Zotu16132,0,2,0,0,0,0,0,3,8,0,0,2,0,1,0,0,0,0,0,0,0,0,9,0,0,1,0,1,1,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,3,0,0,6,0,0,1,0
