	W12t1c	W12t2c	W12t3c	W12t4c	W12t5c	W12t6c	W48t21c	W48t22c	W48t23c	W48t24c	W48t25c	W48t26c	WC10Mb	WC10Mc	WC10Ml	WC31Hb	WC31Hc	WC31Hl	WC32Hb	WC32Hc	WC32Hl	WC33Hb	WC33Hc	WC33Hl	WC8Mb	WC8Mc	WC8Ml	WC9Mb	WC9Mc	WC9Ml
Zotu5569	1	2	0	0	3	2	0	0	0	0	0	0	7	1	0	1	1	0	0	0	0	0	0	0	10	0	0	4	0	0
Zotu557	25	30	21	12	7	15	6	10	5	8	7	23	0	7	16	0	11	79	0	35	47	1	20	31	0	19	60	1	26	31
Zotu5570	2	1	1	0	0	0	0	0	2	7	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0
Zotu5571	2	3	2	9	5	5	3	3	8	9	7	1	0	7	1	0	8	1	1	7	10	1	8	0	2	12	12	1	2	2
Zotu5572	0	0	1	3	0	1	0	0	2	0	0	0	2	0	0	9	0	0	4	0	0	8	0	0	1	0	0	3	0	0
Zotu5573	1	0	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	8	0	0	4	0	2	11	0	0	5	0	0	4
Zotu5574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5575	5	4	0	3	1	7	0	6	2	1	3	7	0	8	0	0	9	0	0	6	0	0	5	0	0	6	4	0	4	0
Zotu5576	10	4	3	5	1	4	0	0	0	0	0	0	0	1	1	0	2	0	0	6	0	0	3	0	0	7	0	0	10	2
Zotu5577	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	0	0	1	1	0	3	0	0	0	0	0
Zotu5578	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5579	12	13	2	5	2	3	6	1	4	0	0	8	0	2	0	0	0	0	0	6	0	0	2	1	0	21	0	0	2	0
Zotu558	0	0	0	0	2	1	1	1	0	2	0	0	17	0	0	22	0	0	65	1	0	25	2	0	13	0	0	37	0	1
Zotu5580	4	7	3	10	1	13	8	10	18	3	25	20	0	10	1	0	7	0	0	19	0	0	8	0	0	4	3	0	7	2
Zotu5581	0	2	4	0	2	0	2	0	2	1	1	2	0	4	0	1	2	0	0	0	1	0	3	0	0	2	0	0	0	0
Zotu5582	0	0	61	0	0	0	0	36	1	44	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	16	0
Zotu5583	6	1	0	0	2	0	5	7	6	5	10	7	1	2	10	7	8	25	13	1	1	23	9	2	1	2	22	0	0	18
Zotu5584	3	2	2	0	3	0	7	3	6	5	0	2	3	4	2	0	2	0	0	3	0	0	5	0	0	5	0	1	2	0
Zotu5585	0	0	26	2	0	2	0	5	0	14	0	0	0	1	0	0	3	1	1	5	0	0	0	0	0	5	9	0	10	4
Zotu5586	0	0	0	1	0	2	0	0	0	0	0	0	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu5587	2	3	3	1	0	1	1	3	6	4	3	4	0	2	1	0	1	0	0	2	0	0	3	0	0	3	6	0	6	0
Zotu5588	0	0	35	0	0	3	0	12	3	9	1	2	0	1	0	0	2	0	0	0	3	0	1	3	0	0	0	0	8	0
Zotu5589	2	1	4	0	1	1	2	1	0	3	0	0	0	0	1	11	2	0	8	0	3	2	3	0	2	0	1	2	0	0
Zotu559	0	2	0	16	5	0	1	0	0	0	3	0	17	2	1	40	0	0	49	1	0	27	2	0	18	0	0	39	1	0
Zotu5590	0	3	0	1	3	4	4	1	0	0	3	0	0	0	0	0	2	5	0	1	2	0	0	0	0	0	0	1	0	0
Zotu5591	4	3	0	0	0	1	1	0	0	0	0	3	0	0	7	0	0	0	1	3	0	0	4	0	0	0	0	0	8	0
Zotu5592	5	2	0	4	3	9	3	4	6	1	7	1	1	2	1	0	5	0	0	1	0	0	5	0	0	0	1	0	16	0
